64742	75118	6	27
64742	75119	57	77
64743	75118	5	26
64743	75121	50	71
64744	75118	4	25
64744	75119	52	72
64745	75124	6	27
64745	75125	60	81
64746	75126	11	32
64747	75128	8	29
64747	75129	62	83
64748	75130	8	29
64748	75131	53	74
64749	75132	7	28
64749	75133	63	84
64750	75132	8	29
64750	75135	58	79
64751	75136	14	35
64751	75137	51	72
64752	75138	14	35
64752	75139	56	77
64753	75140	14	36
64753	75141	51	72
64754	75142	6	28
64754	75143	47	69
64755	75144	14	35
64755	75145	49	71
64756	75146	16	38
64756	75147	54	76
64757	75148	19	40
64757	75147	62	84
64758	75150	8	30
64758	75151	44	65
64759	75152	8	29
64759	75153	46	66
64760	75154	15	36
64760	75155	53	74
64761	75156	9	30
64761	75157	45	65
64762	75158	7	28
64762	75159	44	65
64763	75160	13	34
64763	75159	50	71
64764	75162	14	34
64764	75163	52	73
64765	75164	10	31
64765	75165	49	70
64766	75166	12	32
64766	75167	47	67
64767	75168	10	31
64767	75169	51	71
64768	75170	14	35
64768	75171	54	75
64769	75172	4	25
64769	75173	42	63
64770	75174	6	27
64770	75175	47	68
64771	75176	8	28
64771	75177	44	65
64772	75178	6	27
64772	75179	47	68
64773	75180	6	26
64773	75181	46	67
64774	75182	11	33
64774	75183	48	69
64775	75183	48	69
64775	75184	9	30
64776	75186	11	33
64776	75187	50	71
64777	75188	49	70
64778	75189	9	31
64778	75190	52	73
64779	75191	22	43
64779	98428	80	101
64780	75192	13	34
64780	75193	50	71
64781	75194	13	34
64781	75195	48	69
64782	75196	11	32
64782	75197	47	67
64783	75198	10	33
64783	75199	51	73
64784	75200	11	32
64784	75199	52	74
64785	75202	11	33
64785	75203	48	70
64786	75203	48	70
64787	75205	13	35
64787	75206	51	72
64788	75205	13	35
64788	75206	51	72
64789	75209	13	35
64789	75210	50	71
64790	75211	50	72
64791	75138	10	31
64791	75213	53	74
64907	75384	24	44
64907	75385	67	88
64911	75392	7	28
64912	75393	48	69
64912	96296	9	31
64913	75394	6	27
64915	75397	6	28
64915	75398	47	68
64924	75414	44	65
64925	75415	5	25
64925	75416	49	70
64926	75417	6	27
64926	75418	44	65
64927	75419	7	29
64927	75420	47	68
64928	75421	6	27
64928	75422	46	67
64932	75429	7	29
64932	75430	43	65
64933	75431	47	66
64934	75432	24	47
64934	75433	66	87
64935	75432	32	55
64935	75435	72	93
64936	75432	31	54
64937	75437	22	44
64937	75438	63	84
64938	75439	27	49
64938	75440	66	87
64939	75441	22	43
64939	75442	64	85
64940	75443	39	61
64940	75444	77	98
64941	75445	36	58
64941	96298	76	96
64942	75446	27	48
64942	75447	65	86
64943	75448	23	46
64943	75449	67	87
64944	75450	27	48
64944	75451	66	87
64945	75452	35	56
64945	75453	71	92
64946	75392	25	46
64946	75455	62	83
64947	75397	31	53
64947	75398	70	91
64948	75458	26	48
64948	75459	65	86
64949	75460	65	86
64950	75461	33	54
64950	96300	72	92
64951	75462	34	55
64951	75463	71	91
64952	75464	66	87
64953	75465	26	47
64953	96301	63	83
64954	75466	71	91
64954	96302	31	53
64955	75443	24	46
64955	75468	64	85
64956	75469	30	51
64956	75470	71	92
64957	75471	27	47
64958	75472	19	40
64958	98430	58	79
64959	75473	35	57
64960	75474	25	45
64960	75475	68	89
64961	75474	25	45
64961	75477	67	88
64962	75478	21	41
64962	75479	62	83
64963	75480	25	46
64963	75481	65	87
64964	75482	31	52
64964	75483	69	89
64965	75484	26	47
64965	75485	68	89
64966	75486	7	31
64966	75487	53	75
65004	75535	21	42
65004	75536	57	78
65092	75649	5	26
65092	75650	62	82
65093	75651	6	27
65093	75652	62	83
65094	75653	53	74
65095	75654	20	41
65095	75655	58	79
65096	75656	20	41
65096	75657	58	80
65097	75658	19	40
65097	75659	61	81
65098	75660	17	38
65098	75661	55	76
65099	75662	15	36
65099	75663	51	72
65100	75664	14	35
65100	75665	53	74
65101	75664	25	46
65101	75665	62	83
65102	75665	53	74
65102	75664	15	36
65103	75670	15	36
65103	75671	55	76
65104	75672	50	70
65105	75673	15	36
65105	75674	55	76
65106	75675	23	44
65106	75676	59	80
65107	75677	53	74
65108	75677	59	80
65109	75679	17	39
65109	75680	56	77
65110	75679	23	45
65111	75682	59	81
65112	75683	10	32
65112	75684	57	78
65113	75685	23	44
65113	75686	62	82
65114	75687	17	38
65114	75688	59	80
65115	75689	16	36
65115	75690	52	74
65116	75691	27	48
65116	75692	61	81
65117	75693	15	36
65117	75694	52	71
65118	75695	16	38
65118	75696	54	75
65119	75697	54	74
65120	75698	54	75
65121	75698	53	74
65122	75700	16	38
65122	75701	58	79
65123	75702	16	38
65123	75703	55	76
65124	75702	16	38
65124	75703	53	74
65125	75702	16	38
65125	75703	55	76
65126	75708	15	38
65126	75709	53	74
65127	75670	17	38
65127	75711	54	75
65128	75712	15	35
65128	75713	52	73
65129	75714	23	44
65129	75715	57	78
65130	75415	15	35
65130	75717	57	78
65131	75718	8	29
65132	75719	15	37
65132	75720	49	70
65133	75683	23	45
65133	75722	63	84
65134	75723	21	42
65134	75724	57	78
65135	75725	15	37
65135	75726	56	76
65136	75727	16	37
65136	75728	51	72
65137	75729	15	36
65137	75730	51	72
65138	75731	53	74
65139	75732	15	36
65139	75733	50	71
65140	75734	15	36
65140	75735	54	75
65141	75736	15	35
65141	75737	54	74
65142	75738	15	36
65143	75739	21	42
65143	75740	55	76
65144	75741	15	36
65145	75742	15	35
65145	75743	53	74
65146	75744	53	74
65195	75793	42	63
65299	75989	5	26
65299	75990	44	66
65300	75653	46	67
65330	76023	4	27
65330	76024	43	64
65331	75445	16	38
65373	75672	52	72
65378	75741	15	36
65378	76118	51	72
